№,Время последней сделки,Название,Тикер,"Цена, посл","Изм, %","Объем, млн руб","1 нед, %","1 м, %","ytd, %","ytd, %",Капит-я млрд руб,Капит-я млрд $,ИзмОбъема
44,18:39:55,Башнефт ап,BANEP,852,+0.47%,73.25,+3.9%,+15.3%,-14.5%,-14.5%,192.33,3.39,-2%
45,18:39:57,Ростел -ао,RTKM,59.82,+0.66%,68.56,+3.6%,+0.9%,-31.4%,-31.4%,208.99,3.69,+17%
46,18:39:52,СПБ Биржа,SPBE,207,-0.29%,61.98,+6.7%,-18.7%,-79.0%,-79.0%,27.50,0.48,-60%
47,18:39:38,ЭН+ГРУП ао,ENPG,529,-1.31%,58.68,-4.6%,-20.5%,-40.2%,-40.2%,339.23,5.98,-25%
48,18:39:55,РусГидро,HYDR,0.7856,-0.81%,50.49,-1.2%,-1.8%,+5.9%,+5.9%,344.84,6.08,-41%
49,18:39:51,FIVE-гдр,FIVE,827,+0.36%,49.69,+2.6%,-24.2%,-57.6%,-57.6%,224.59,3.96,-3%
50,18:39:56,РСетиЦП ао,MRKP,0.2275,+2.71%,49.11,+9.2%,+14.8%,-1.4%,-1.4%,25.63,0.45,-8%
51,18:39:57,AGRO-гдр,AGRO,860.2,-0.37%,45.25,+6.0%,-9.2%,-26.6%,-26.6%,115.72,2.04,-58%
52,18:39:51,ВСМПО-АВСМ,VSMO,58580,-1.58%,45.07,-1.4%,+2.0%,+25.4%,+25.4%,675.40,11.91,+31%
53,18:39:30,ТГК-1,TGKA,0.009588,-0.21%,44.74,+8.9%,+21.3%,-3.5%,-3.5%,36.89,0.65,-33%
54,18:39:29,Россети ао,RSTI,0.6066,-0.26%,44.57,+4.1%,-14.4%,-45.6%,-45.6%,123.26,2.17,+29%
55,18:39:37,Мечел ап,MTLRP,148,+0.71%,43.35,-3.3%,-20.6%,-52.8%,-52.8%,70.33,1.24,-34%
56,18:39:52,ИРКУТ-3,IRKT,34.52,+0.12%,41.66,+11.2%,+34.1%,+55.4%,+55.4%,71.90,1.27,+13%
57,18:38:29,Транснф ап,TRNFP,128900,-1.23%,40.67,-5.9%,+15.9%,-18.7%,-18.7%,200.42,3.53,-41%
58,18:39:57,ДетскийМир,DSKY,64.96,-0.22%,39.00,-2.3%,-11.5%,-47.9%,-47.9%,48.01,0.85,-31%
59,18:39:52,ЛСР ао,LSRG,499.8,+1.34%,37.06,+3.5%,-0.6%,-18.0%,-18.0%,51.52,0.91,+110%
60,18:39:57,iПозитив,POSI,844.6,-0.17%,33.58,-0.3%,-11.6%,-0.4%,-0.4%,50.66,0.89,+94%
61,18:39:02,АшинскийМЗ,AMEZ,19.5,+1.85%,32.37,+0.4%,-11.3%,+8.9%,+8.9%,9.73,0.17,+588%
62,18:39:58,GEMC-гдр,GEMC,396.2,-5.44%,31.76,+41.0%,-21.4%,-60.5%,-60.5%,35.66,0.63,-51%
63,18:39:57,Petropavl,POGR,3.37,+2.12%,27.79,+0.6%,-44.3%,-82.6%,-82.6%,13.38,0.24,-31%
64,18:39:47,РуссНфт ао,RNFT,89,+0.23%,25.31,+0.5%,-7.9%,-42.0%,-42.0%,26.18,0.46,+52%
65,18:39:58,ДВМП ао,FESH,31.34,-1.07%,24.59,-1.5%,-8.4%,+14.3%,+14.3%,92.49,1.63,-33%
66,18:39:30,iSFTL-гдр,SFTL,116.8,+5.13%,22.80,+8.1%,-28.8%,-77.4%,-77.4%,21.46,0.38,+94%
67,18:39:50,iQIWI,QIWI,307,-1.6%,21.22,-8.6%,-5.8%,-49.3%,-49.3%,18.71,0.33,-54%
68,18:39:17,РоссЦентр,MRKC,0.2962,+3.13%,20.54,+7.9%,-1.5%,-28.6%,-28.6%,12.50,0.22,+52%
69,18:39:41,iИСКЧ ао,ISKJ,63.48,-0.19%,18.78,-4.4%,-13.4%,-44.8%,-44.8%,5.39,0.10,-16%
70,18:39:55,РСетиЛЭ-п,LSNGP,136.65,-0.62%,17.36,+0.2%,-13.7%,-19.4%,-19.4%,70.95,1.25,-55%
71,18:31:36,ИНГРАД ао,INGR,1284,-0.62%,16.68,+3.5%,-4.3%,-29.0%,-29.0%,52.93,0.93,+114%
72,18:39:58,GLTR-гдр,GLTR,327.05,-2.66%,15.66,+1.3%,-17.9%,-49.4%,-49.4%,58.46,1.03,-66%
73,18:39:35,ETLN-гдр,ETLN,55.6,+2.36%,15.56,+4.8%,-12.2%,-35.0%,-35.0%,21.32,0.38,+264%
74,18:38:08,МРСК Ур,MRKU,0.1986,-0.4%,15.06,+5.9%,+9.6%,+11.7%,+11.7%,17.35,0.31,+89%
75,18:39:51,М.видео,MVID,190.5,-0.21%,14.61,+1.4%,-14.8%,-56.5%,-56.5%,34.25,0.60,-49%
76,18:38:08,+МосЭнерго,MSNG,2.1485,-0.37%,14.46,+5.6%,+21.5%,+2.5%,+2.5%,85.40,1.51,-35%
77,18:39:51,MDMG-гдр,MDMG,364.7,+0.47%,12.84,+10.5%,-21.4%,-54.3%,-54.3%,27.40,0.48,-75%
78,18:39:29,Телеграф-п,CNTLP,9.82,+3.37%,12.57,+10.6%,+58.9%,+21.5%,+21.5%,2.36,0.04,-31%
79,18:39:43,НКНХ ап,NKNCP,66.24,-0.72%,12.12,+1.3%,-9.5%,-34.9%,-34.9%,145.84,2.57,-18%
80,18:39:08,Белуга ао,BELU,2278,-0.35%,10.92,-1.4%,-11.9%,-32.0%,-32.0%,36.01,0.63,-63%
81,18:39:06,ТМК ао,TRMK,53.48,+1.36%,10.22,+4.8%,-13.9%,-26.5%,-26.5%,55.07,0.97,-42%
82,18:36:27,Куйбазот,KAZT,417.8,+0.87%,9.91,+4.2%,-7.3%,+7.4%,+7.4%,99.44,1.75,+74%
83,18:39:56,FIXP-гдр,FIXP,299.1,-1.16%,9.80,+1.1%,-17.9%,-44.9%,-44.9%,254.24,4.48,-33%
84,18:39:13,Совкомфлот,FLOT,37.31,+0.24%,9.23,+0.8%,-11.2%,-49.2%,-49.2%,88.61,1.56,-22%
85,18:39:12,ЧеркизГ-ао,GCHE,2704,-0.22%,9.02,-1.7%,-9.2%,-8.2%,-8.2%,114.40,2.02,+40%
86,18:39:55,Русгрэйн,RUGR,18.478,+0.42%,7.66,-1.5%,-9.4%,+50.3%,+50.3%,0.79,0.01,+90%
87,18:39:06,ОргСинт ао,KZOS,72.2,+3.59%,7.62,+7.4%,+3.6%,-25.3%,-25.3%,130.83,2.31,+220%
88,18:29:52,ТГК-2,TGKB,0.00388,+5.87%,7.55,+8.1%,+7.9%,-6.7%,-6.7%,5.79,0.10,+361%
89,18:39:25,Ростел -ап,RTKMP,59.95,+0.08%,7.01,+3.5%,-1.8%,-21.3%,-21.3%,208.99,3.69,-33%
90,18:39:28,НМТП ао,NMTP,5.58,+0.54%,6.93,+1.4%,+1.4%,-17.4%,-17.4%,107.47,1.90,-46%
91,18:39:55,КАМАЗ,KMAZ,97,-1.02%,6.75,-0.1%,-5.9%,-7.6%,-7.6%,68.53,1.21,-50%
92,18:37:27,РСетиМР ао,MSRS,0.9765,+1.88%,6.72,+6.3%,+1.2%,-21.2%,-21.2%,47.56,0.84,-36%
93,18:39:25,БСП ао,BSPB,68.99,-0.66%,6.21,+3.5%,+7.6%,-16.0%,-16.0%,33.08,0.58,-5%
94,18:39:56,Башнефт ао,BANE,1130,+0.27%,6.14,+0.8%,+13.3%,-16.9%,-16.9%,192.33,3.39,-55%
95,18:36:42,КрасОкт-ао,KROT,305,+5.72%,5.63,+5.4%,-7.6%,-21.9%,-21.9%,3.20,0.06,+7673%
96,18:39:58,ОВК ао,UWGN,43.6,+0.93%,5.50,+12.1%,-8.6%,-41.2%,-41.2%,5.05,0.09,+99%
97,18:39:48,РДБанк ао,RDRB,174,+12.99%,4.80,+17.6%,+10.1%,-13.9%,-13.9%,3.30,0.06,+1074%
98,18:38:31,НКНХ ао,NKNC,81.4,+1.06%,4.57,+4.4%,-8.3%,-26.6%,-26.6%,145.84,2.57,+12%
99,18:39:22,CIAN-адр,CIAN,281,-0.92%,4.45,-3.7%,-17.5%,-73.0%,-73.0%,,,+14%
100,18:39:13,iАвиастКао,UNAC,0.6405,-1.39%,4.22,+0.8%,+0.7%,+3.4%,+3.4%,336.69,5.94,+39%
101,18:38:34,РусАква ао,AQUA,484,+0.21%,4.14,+0.2%,+13.1%,-19.4%,-19.4%,42.53,0.75,-28%
102,18:39:24,ОРГ ао,ORUP,5.76,-0.35%,3.87,+5.5%,-13.0%,-65.3%,-65.3%,0.65,0.01,-10%
103,18:35:48,АбрауДюрсо,ABRD,168.5,-1.75%,3.57,+0.3%,-6.4%,-12.5%,-12.5%,16.61,0.29,+15%
104,18:39:53,Русолово,ROLO,6.865,-1.93%,3.52,+0.5%,-15.5%,-15.9%,-15.9%,20.60,0.36,-76%
105,18:39:05,СаратНПЗ-п,KRKNP,10760,+1.32%,3.18,+1.9%,-23.7%,-30.8%,-30.8%,8.48,0.15,-72%
106,18:39:18,ТНСэнВор-п,VRSBP,84.8,+6%,3.11,+4.4%,+123.2%,+72.4%,+72.4%,10.58,0.19,+93%
107,18:39:44,Телеграф,CNTL,10.82,+1.5%,3.06,+7.1%,+16.3%,-9.5%,-9.5%,2.36,0.04,-10%
108,18:39:28,iФармсинтз,LIFE,3.775,+0.67%,3.00,+3.3%,-3.9%,-32.5%,-32.5%,1.14,0.02,-16%
109,18:39:34,Светофор,SVET,23.35,0%,3.00,+2.2%,-21.9%,-69.9%,-69.9%,0.52,0.01,-45%
