№,Время последней сделки,Название,Тикер,"Цена, посл","Изм, %","Объем, млн руб","1 нед, %","1 м, %","ytd, %","ytd, %",Капит-я млрд руб,Капит-я млрд $,ИзмОбъема
191,18:29:18,ВХЗ-ао,VLHZ,68.6,-0.29%,0.17,+4.1%,-2.6%,-3.7%,-3.7%,0.34,0.01,-87%
192,18:36:13,ДонскЗР,DZRD,1875,-2.09%,0.17,+0.5%,-3.8%,-9.2%,-9.2%,0.84,0.01,-77%
193,18:35:32,ТНСэнРст-п,RTSBP,0.514,+0.98%,0.16,+1.2%,+16.3%,-2.8%,-2.8%,4.87,0.09,+393%
194,17:46:26,МГТС-5ао,MGTS,1550,-0.96%,0.15,0,-7.5%,-23.8%,-23.8%,134.25,2.37,+137%
195,17:02:21,Красэсб ап,KRSBP,7.9,-1%,0.15,+0.5%,-23.7%,-11.2%,-11.2%,5.73,0.10,+15%
196,18:29:10,ТНСэнрг ао,TNSE,750,-2.6%,0.13,-4.5%,+7.9%,-17.6%,-17.6%,10.39,0.18,-66%
197,17:17:55,ЮУНК ао,UNKL,5960,-0.33%,0.13,0,-10.1%,-27.0%,-27.0%,3.57,0.06,-71%
198,18:35:38,РСетКубань,KUBE,59,0%,0.12,+6.3%,-2.3%,-11.3%,-11.3%,19.74,0.35,-85%
199,18:40:08,ТНСэнЯр,YRSB,172,0%,0.12,-1.1%,+2.4%,-16.5%,-16.5%,3.33,0.06,+9%
200,18:39:46,ИКРУСС-ИНВ,RUSI,53,-0.93%,0.12,+3.9%,-11.2%,+6.9%,+6.9%,5.78,0.10,+14%
201,18:04:34,Слав-ЯНОСп,JNOSP,10.1,+1%,0.11,+1.4%,-1.4%,-33.7%,-33.7%,16.24,0.29,+1519%
202,16:30:50,СаратЭн-ап,SAREP,0.0902,-0.88%,0.11,-1.7%,-10.3%,-13.3%,-13.3%,0.67,0.01,-80%
203,18:13:07,ЦМТ ап,WTCMP,6.7,0%,0.11,-0.9%,-9.0%,-20.6%,-20.6%,9.34,0.16,+135%
204,18:34:36,БашИнСв ап,BISVP,7.35,+2.23%,0.11,+4.9%,+5.0%,-35.5%,-35.5%,8.49,0.15,-22%
205,18:38:39,РоссЮг ао,MRKY,0.0336,+0.15%,0.11,+2.3%,-14.0%,-25.5%,-25.5%,5.10,0.09,-65%
206,18:38:20,Левенгук,LVHK,12.09,-0.41%,0.11,+0.8%,-6.3%,-24.3%,-24.3%,0.64,0.01,-1%
207,18:01:34,Мегион-ап,MFGSP,206,+2.49%,0.10,+4.0%,-1.4%,-24.8%,-24.8%,36.11,0.64,+108%
208,18:22:37,Электрцинк,ELTZ,152.5,+0.33%,0.09,+0.3%,-6.2%,-9.5%,-9.5%,0.21,0.00,-24%
209,18:08:26,ТКЗКК ап,KRKOP,8.29,+0.36%,0.09,-1.3%,-10.3%,-17.5%,-17.5%,10.78,0.19,+43%
210,18:39:44,РН-ЗапСиб,CHGZ,34.6,+1.17%,0.08,+3.6%,-9.9%,-40.5%,-40.5%,0.93,0.02,+25%
211,17:38:28,ГАЗ ап,GAZAP,247,0%,0.08,+2.5%,-1.4%,-30.4%,-30.4%,6.82,0.12,+235%
212,16:05:04,Приморье,PRMB,39600,0%,0.08,-4.8%,+0.5%,+3.7%,+3.7%,9.90,0.17,-33%
213,16:31:23,СамарЭн-ао,SAGO,1.222,-1.61%,0.08,+1.0%,-2.1%,+4.3%,+4.3%,4.95,0.09,-13%
214,18:32:03,Химпром ап,HIMCP,8.89,+0.23%,0.08,+3.5%,-0.1%,-6.5%,-6.5%,2.72,0.05,-81%
215,18:40:08,КамчатЭ ап,KCHEP,0.313,0%,0.07,-1.6%,-3.7%,-17.2%,-17.2%,7.93,0.14,0%
216,18:35:00,АстрЭнСб,ASSB,0.697,-1.69%,0.06,+0.9%,-1.2%,-16.1%,-16.1%,0.54,0.01,-50%
217,18:30:58,ЧМК ао,CHMK,3190,+0.16%,0.06,+0.6%,-17.6%,-32.4%,-32.4%,10.09,0.18,-66%
218,16:54:05,КамчатЭ ао,KCHE,0.1615,-0.31%,0.06,-0.3%,-6.6%,-19.0%,-19.0%,7.93,0.14,+69%
219,18:40:08,Инв-Девел,IDVP,20000,0%,0.06,0,,,,42.21,0.74,0%
220,18:27:26,КурганГКап,KGKCP,37.6,0%,0.06,+0.5%,-2.1%,-20.0%,-20.0%,5.22,0.09,+115%
221,18:38:00,Арсагера,ARSA,5.6,+1.82%,0.06,+0.2%,-2.4%,-26.0%,-26.0%,0.69,0.01,+19%
222,18:40:08,ГазпРнД ао,RTGZ,26200,0%,0.05,-1.5%,+0.4%,-15.8%,-15.8%,3.15,0.06,+100%
223,18:38:49,ТамбЭнСб-п,TASBP,0.3505,+2.49%,0.05,+2.8%,-4.4%,-21.6%,-21.6%,0.76,0.01,-10%
224,16:46:03,МагадЭн ап,MAGEP,3.17,+0.32%,0.05,+1.0%,-6.8%,-41.3%,-41.3%,2.77,0.05,-85%
225,18:21:19,ЛЭСК ао,LPSB,8.5,+0.59%,0.04,+0.6%,-1.2%,-7.1%,-7.1%,1.32,0.02,+254%
226,18:44:48,КСБ ап,KTSBP,0.288,0%,0.04,+0.7%,-1.7%,-14.4%,-14.4%,0.54,0.01,+7%
227,18:30:16,HMSG-гдр,HMSG,127,-0.78%,0.04,+6.3%,-21.4%,-58.2%,-58.2%,2.98,0.05,-74%
228,18:35:38,ОКС ао,UCSS,695,+0.72%,0.04,+3.0%,+16.8%,-14.2%,-14.2%,16.48,0.29,-47%
229,16:25:28,ТЗА ао,TUZA,94,+0.53%,0.04,+2.2%,-5.1%,-34.9%,-34.9%,0.77,0.01,-24%
230,17:26:14,ГАЗ ао,GAZA,349,+1.01%,0.03,+3.1%,-1.8%,-23.3%,-23.3%,6.82,0.12,+68%
231,16:54:19,ЦМТ ао,WTCM,7.62,-1.3%,0.03,+0.5%,-9.3%,-21.0%,-21.0%,9.34,0.16,-86%
232,18:18:34,ЕвроЭлтех,EELT,5.02,+0.4%,0.03,+0.4%,-0.8%,-29.1%,-29.1%,3.06,0.05,+198%
233,18:39:45,ПавлАвт ао,PAZA,5020,-1.18%,0.03,-3.8%,-8.7%,-12.2%,-12.2%,7.84,0.14,-89%
234,15:25:29,ТНСэнНН ап,NNSBP,590,+1.72%,0.02,-1.3%,+6.3%,-29.2%,-29.2%,7.74,0.14,-89%
235,17:51:40,РОСИНТЕРао,ROST,46,+1.32%,0.02,+2.7%,-1.3%,-33.3%,-33.3%,0.75,0.01,-22%
236,17:39:36,ВыбСудЗ ап,VSYDP,4240,-1.4%,0.02,-1.4%,-6.2%,-11.7%,-11.7%,6.43,0.11,+304%
237,16:41:39,ВолгЭнСб-п,VGSBP,1.825,+1.67%,0.01,+2.0%,-0.5%,-17.4%,-17.4%,1.29,0.02,+15%
238,15:39:02,СамарЭн-ап,SAGOP,1.194,-1.65%,0.01,-1.2%,-6.0%,-0.4%,-0.4%,4.95,0.09,-72%
239,18:33:50,ТНСэнРст,RTSB,0.544,+0.37%,0.01,+1.9%,+13.3%,-16.6%,-16.6%,4.87,0.09,-90%
240,15:55:09,ТРК ап,TORSP,0.188,-1.31%,0.01,-1.8%,-3.8%,-25.1%,-25.1%,1.15,0.02,+39%
241,17:58:00,МЕРИДИАН,MERF,9.85,+1.55%,0.01,+1.0%,-5.3%,-21.2%,-21.2%,5.14,0.09,+33%
242,18:26:56,КосогМЗ ао,KMTZ,650,0%,0.01,0,,,,18.47,0.33,+100%
243,15:38:07,Квадра-п,TGKDP,0.00801,-0.87%,0.01,-2.3%,-5.7%,+14.9%,+14.9%,22.68,0.40,-70%
244,10:10:44,ЧКПЗ ао,CHKZ,5420,-1.81%,0.01,-0.4%,-4.6%,-6.6%,-6.6%,3.25,0.06,-87%
245,18:28:10,Якутскэн-п,YKENP,0.2595,+1.37%,0.01,+0.2%,-3.4%,-14.5%,-14.5%,2.43,0.04,-21%
246,14:52:43,КурганГКао,KGKC,38.2,+0.53%,0.01,+1.1%,-1.0%,-18.4%,-18.4%,5.22,0.09,-11%
247,18:09:50,ТНСэнЯр-п,YRSBP,84,-1.18%,0.01,+1.2%,+0.6%,-7.7%,-7.7%,3.33,0.06,-45%
248,18:40:08,КСБ ао,KTSB,0.58,0%,0.01,+1.8%,-3.3%,-3.0%,-3.0%,0.54,0.01,+40%
249,18:21:57,ВыбСудЗ ао,VSYD,3995,+1.14%,0.01,-1.0%,-6.2%,-14.9%,-14.9%,6.43,0.11,-80%
250,18:28:29,Якутскэнрг,YKEN,0.262,-0.38%,0.01,+1.4%,-1.3%,-14.1%,-14.1%,2.43,0.04,+201%
251,17:08:15,ВолгЭнСб,VGSB,3.585,-1.24%,0.01,+0.3%,-5.4%,-5.7%,-5.7%,1.29,0.02,-61%
252,18:34:13,Медиахолд,ODVA,0.0802,-1.47%,0.01,-0.7%,-7.6%,-10.1%,-10.1%,0.06,0.00,-34%
253,17:15:22,ТНСэнНН ао,NNSB,1815,-0.82%,0.00,-2.4%,+0.6%,-14.6%,-14.6%,7.74,0.14,-88%
254,18:40:08,ТРК ао,TORS,0.274,0%,0.00,+0.4%,+1.1%,-16.5%,-16.5%,1.15,0.02,0%
255,13:17:44,ТамбЭнСб,TASB,0.445,+1.48%,0.00,+0.2%,+3.5%,-15.8%,-15.8%,0.76,0.01,-96%
256,18:40:08,АСКО ао,ACKO,,0%,,,,,,1.92,0.03,
257,18:40:08,БашИнСв ао,BISV,,0%,,,,,,8.49,0.15,
258,18:40:08,Держава ап,DERZP,,0%,,,,,,,,
259,18:40:08,EM44-гдр,EM44,,0%,,,,,,,,
260,18:40:08,ГАЗКОН-ао,GAZC,,0%,,,,,,66.49,1.17,
261,18:40:08,ГАЗ-сервис,GAZS,,0%,,,,,,60.51,1.07,
262,18:40:08,ГАЗ-Тек ао,GAZT,,0%,,,,,,40.07,0.71,
263,18:40:08,ГЕОТЕК ао,GTSS,,0%,,,,,,,,
264,18:40:08,Химпром ао,HIMC,,0%,,,,,,2.72,0.05,
265,18:40:08,ИркЭнерго,IRGZ,,0%,,,,,,66.83,1.18,
266,18:40:08,ТКЗКК ао,KRKO,,0%,,,,,,10.78,0.19,
267,18:40:08,Кокс ао,KSGR,,0%,,,,,,,,
268,18:40:08,КЗМС ао,KZMS,,0%,,,,,,0.20,0.00,
269,18:40:08,МегаФон ао,MFON,,0%,,,,,,403.37,7.11,
270,18:40:08,Морион ао,MORI,,0%,,,,,,0.71,0.01,
271,18:40:08,Физика ао,NPOF,,0%,,,,,,1.07,0.02,
272,18:40:08,Raven,RAVN,,0%,,,,,,13.60,0.24,
273,18:40:08,ТрансК ао,TRCN,,0%,,,,,,119.43,2.11,
274,18:40:08,ТрансФ ао,TRFM,,0%,,,,,,,,
275,18:40:08,Уркалий-ао,URKA,,0%,,,,,,151.01,2.66,
